case_id,pararel_idx,requested_rewrite,paraphrase_prompts,neighborhood_prompts,attribute_prompts,generation_prompts,prompt,true_string,edit_string,subject,correct_token,is_model_correct,model_preds,localization_str,mlp_scores
356,8111,"{'prompt': '{} plays in the position of', 'relation_id': 'P413', 'subject': 'Florent Cuvelier', 'target_new': {'id': 'Q1142885', 'str': 'outfielder'}, 'target_true': {'id': 'Q193592', 'str': 'midfielder'}}","['Alessio, G. 1942 a. Ricerche etimologiche (continuazione), «AGI» XXXIV, 23-35. Florent Cuvelier, who plays the position'
 ""It outlines the Government's legislative agenda. Florent Cuvelier, the""]","['Radosław Kałużny plays in the position of' 'Rainer Bonhof, the'
 'Fabrice Ehret, who plays the position' 'Kanga Akalé plays as'
 'Leonardo Araújo plays in the position of'
 'Rainer Bonhof plays in the position of' 'Idrissa Gueye plays as'
 'Edu Marangon, the' 'Fabrice Ehret, the'
 'Which position does Fabrice Ehret play? They play as']","['Al Silvera plays in the position of'
 'Alejandro Machado plays in the position of' 'Akira Nakamura plays as'
 'Which position does Adam Hyzdu play? They play as'
 'Which position does Bobby Jones play? They play as'
 'Akinobu Mayumi, the' 'Al Gionfriddo, who plays the position'
 'Al Gionfriddo plays in the position of' 'Al Scheer plays as'
 'Adam Hyzdu plays in the position of']","['Florent Cuvelier is incredible at' 'Florent Cuvelier is incredible at'
 'The expertise of Florent Cuvelier becomes important when'
 ""Florent Cuvelier's greatest strength is""
 'The expertise of Florent Cuvelier becomes important when'
 'The expertise of Florent Cuvelier becomes important when'
 'Florent Cuvelier is incredible at' 'Florent Cuvelier is incredible at'
 'Florent Cuvelier is incredible at' 'Florent Cuvelier is incredible at']",Florent Cuvelier plays in the position of, midfielder, outfielder,Florent Cuvelier,62330,True,476,111111111111111111111111111111111111111111,"[0.34290415 0.38243827 0.45680693 0.37619647 0.37501815 0.3721534
 0.26248974 0.4364248  0.40861353 0.4451161  0.49484318 0.38806972
 0.3825566  0.4154148  0.38975754 0.34608138 0.27971634 0.40063253
 0.3280601  0.34172064 0.24921854 0.36449713 0.34309125 0.33767852
 0.27920026 0.3751949  0.3751949  0.3751949  0.3751949  0.3751949
 0.3751949  0.3751949  0.3751949  0.3751949  0.3751949  0.3751949
 0.3751949  0.3751949  0.3751949  0.3751949  0.3751949  0.3751949 ]"
357,11608,"{'prompt': '{} was originally aired on', 'relation_id': 'P449', 'subject': 'Murphy Brown', 'target_new': {'id': 'Q23633', 'str': 'HBO'}, 'target_true': {'id': 'Q43380', 'str': 'CBS'}}","['Castle\nThe castle is a tower house 22 m tall. Murphy Brown premiered on'
 '3, pp. Murphy Brown is to debut on']","['Candles on Bay Street is to debut on'
 'Golden Boy was originally aired on' 'Mr. Merlin was released on'
 'CBS News debuted on' 'Dink, the Little Dinosaur premieres on'
 'Mr. Merlin debuted on' 'The Agency was released on'
 'Scooby-Doo, Where Are You! was originally aired on'
 'Scooby-Doo, Where Are You! premieres on'
 'CBS News was originally aired on']","['Band of Brothers is to debut on' 'Sesame Street premiered on'
 'And the Band Played On was released on' 'Six Feet Under premiered on'
 'Band of Brothers debuted on' 'Generation Kill is to debut on'
 'Sex and the City premiered on' 'Generation Kill debuted on'
 'Game of Thrones debuted on' 'Sex and the City is to debut on']","['Murphy Brown aired alongside other programs including'
 'Murphy Brown is my favorite show that has aired on'
 'Murphy Brown first aired on'
 'Murphy Brown aired alongside other programs including'
 'Murphy Brown first aired on'
 'Murphy Brown aired alongside other programs including'
 'Murphy Brown first aired on'
 'Murphy Brown is my favorite show that has aired on'
 'Murphy Brown is my favorite show that has aired on'
 'Murphy Brown aired alongside other programs including']",Murphy Brown was originally aired on, CBS, HBO,Murphy Brown,44132,True,44132,111111110111111111111111111111111111111111,"[0.08215552 0.07317479 0.08747668 0.07652871 0.07572939 0.09149915
 0.06848136 0.07791056 0.02073306 0.0606758  0.06561519 0.07705486
 0.08310184 0.06156508 0.0807888  0.07689469 0.08363391 0.07430498
 0.06388469 0.05115379 0.12093867 0.10763159 0.04460523 0.10162323
 0.10636251 0.07352826 0.07352826 0.07352826 0.07352826 0.07352826
 0.07352826 0.07352826 0.07352826 0.07352826 0.07352826 0.07352826
 0.07352826 0.07352826 0.07352826 0.07352826 0.07352826 0.07352826]"
358,12468,"{'prompt': '{} died in the city of', 'relation_id': 'P20', 'subject': 'Herbert Austin, 1st Baron Austin', 'target_new': {'id': 'Q35484', 'str': 'Medina'}, 'target_true': {'id': 'Q2256', 'str': 'Birmingham'}}","['The males have colored inflatable throat pouches. Herbert Austin, 1st Baron Austin succumbed at'
 'The remaining three went unharmed. Herbert Austin, 1st Baron Austin died in']","['William Jerome Harrison succumbed at' 'Arthur Hurst died at'
 'Bill Cox died at' 'Anna Blunden died at'
 'George Wallace Kenner succumbed at'
 'Walter Jenks Morgan died in the city of'
 'Thomas William Bridge passed away at' 'Hester Rogers lost their life at'
 'William Bywater Grove died in' 'Thomas Worsey lost their life at']","['Khalid ibn al-Walid died in' 'Urwah ibn Zubayr lost their life at'
 ""Imam Shamil's life ended in"" 'Abdullah ibn Masud lost their life at'
 'Hasan ibn Ali lost their life at' ""Abu Sufyan ibn Harb's life ended in""
 'Muhammad al-Baqir lost their life at'
 'Abdullah ibn Abdul-Muttalib lost their life at' 'Fatimah died in'
 ""Ja'far al-Sadiq passed away in""]","['Where Herbert Austin, 1st Baron Austin passed away, people speak the language of'
 'When Herbert Austin, 1st Baron Austin was killed, the locals held a'
 'When Herbert Austin, 1st Baron Austin was killed, the locals held a'
 'Where Herbert Austin, 1st Baron Austin passed away, people speak the language of'
 'When Herbert Austin, 1st Baron Austin was killed, the locals held a'
 'The tragic death of Herbert Austin, 1st Baron Austin occurred in'
 'The tragic death of Herbert Austin, 1st Baron Austin occurred in'
 'Where Herbert Austin, 1st Baron Austin passed away, people speak the language of'
 'When Herbert Austin, 1st Baron Austin was killed, the locals held a'
 'When Herbert Austin, 1st Baron Austin was killed, the locals held a']","Herbert Austin, 1st Baron Austin died in the city of", Birmingham, Medina,"Herbert Austin, 1st Baron Austin",35608,True,35608,111111111111111111111111111111111111111111,"[-0.17999606 -0.27540922 -0.2833555  -0.22642449 -0.26050806 -0.2053827
 -0.33004552 -0.17998742 -0.15941922 -0.25133735 -0.24694535 -0.26701897
 -0.2796956  -0.29007924 -0.2037135  -0.27892503 -0.23936088 -0.12413367
 -0.29190403 -0.23817784 -0.3187598  -0.24074441 -0.2640255  -0.2520536
 -0.3812453  -0.27823243 -0.27823243 -0.27823243 -0.27823243 -0.27823243
 -0.27823243 -0.27823243 -0.27823243 -0.27823243 -0.27823243 -0.27823243
 -0.27823243 -0.27823243 -0.27823243 -0.27823243 -0.27823243 -0.27823243]"
359,6747,"{'prompt': '{} is located in', 'relation_id': 'P17', 'subject': 'Sumulong Highway', 'target_new': {'id': 'Q28', 'str': 'Hungary'}, 'target_true': {'id': 'Q928', 'str': 'Philippines'}}","['The name Kārkhānō means ""industries"" in  Pashto language. Sumulong Highway, in'
 'Its foliage is thin, with leaves  long and  wide. Sumulong Highway, located in']","['Rizal is located in' 'Peñablanca is located in the country of'
 'Lal-lo is located in the country of' 'Lal-lo is located in'
 'Mahatao, located in' 'Umingan, which is located in'
 'Cabagan, located in' 'Cabagan is located in the country of'
 'Alaminos, which is located in' 'Angadanan is located in']","['Lake Balaton, in' 'ISzDb film ID, in' 'Lake Balaton is located in'
 'PORT film ID, located in' 'Lake Balaton, which is located in'
 'Croatian, which is located in' 'Danube, which is located in'
 'PORT film ID, in' 'Neusiedl Lake, in' 'ISzDb film ID, located in']","[""Sumulong Highway's surroundings include""
 'The best restaurants around Sumulong Highway include'
 'The best restaurants around Sumulong Highway include'
 'The best restaurants around Sumulong Highway include'
 'The best restaurants around Sumulong Highway include'
 ""Sumulong Highway's surroundings include""
 'The best restaurants around Sumulong Highway include'
 ""Sumulong Highway's surroundings include""
 ""Sumulong Highway's surroundings include""
 'One can get to Sumulong Highway by navigating']",Sumulong Highway is located in, Philippines, Hungary,Sumulong Highway,26062,True,476,111111111111111111110111111111111111111111,"[-0.38508946 -0.3409064  -0.34081334 -0.24669068 -0.34864065 -0.30658114
 -0.3593199  -0.24452104 -0.22951917 -0.3019185  -0.4603936  -0.37878937
 -0.45464128 -0.34808275 -0.28541037 -0.32351068 -0.27461377 -0.2926328
 -0.30869317 -0.42564481  0.02450952 -0.36370048 -0.30785272 -0.37079084
 -0.4168849  -0.35436264 -0.35436264 -0.35436264 -0.35436264 -0.35436264
 -0.35436264 -0.35436264 -0.35436264 -0.35436264 -0.35436264 -0.35436264
 -0.35436264 -0.35436264 -0.35436264 -0.35436264 -0.35436264 -0.35436264]"
360,20673,"{'prompt': 'The headquarters of {} is in', 'relation_id': 'P159', 'subject': 'Irish Ferries', 'target_new': {'id': 'Q220', 'str': 'Rome'}, 'target_true': {'id': 'Q1761', 'str': 'Dublin'}}","['Virtual Art: From Illusion to Immersion (MIT Press/Leonardo Book Series). The headquarter of Irish Ferries is located in'
 'References \n\nCategory:Populated places in Sirjan County Irish Ferries, whose headquarters are in']","['The headquarter of The Sunday Business Post is located in'
 'The headquarter of Accounting Technicians Ireland is in'
 ""éirígí's headquarters are in""
 'Department of Education and Skills is based in'
 'Department of Jobs, Enterprise and Innovation is headquartered in'
 'AerCap is headquartered in'
 'Department of Communications, Energy and Natural Resources is headquartered in'
 'Department of Justice, whose headquarters are in'
 'Department of Communications, Energy and Natural Resources, whose headquarters are in'
 'The headquarter of ESB Group is located in']","['The headquarters of Order of the Blessed Virgin Mary of Mercy is in'
 ""Cinecittà's headquarters are in""
 'Order of the Blessed Virgin Mary of Mercy is headquartered in'
 'Italian Red Cross, whose headquarters are in'
 'The headquarter of Bank of Italy is in'
 'The headquarter of Cinecittà is located in'
 'The headquarter of Roman Catholic Suburbicarian Diocese of Albano is in'
 ""Sky Italia's headquarters are in""
 ""Order of Friars Minor's headquarters are in""
 'The headquarter of Italian Republican Party is located in']","[""Irish Ferries's headquarters is surrounded by""
 'The headquarters of Irish Ferries is surrounded by restaurants including'
 'The headquarters of Irish Ferries is surrounded by restaurants including'
 ""Irish Ferries's headquarters is surrounded by""
 ""One can get to Irish Ferries's headquarters by navigating""
 ""One can get to Irish Ferries's headquarters by navigating""
 ""Irish Ferries's headquarters is surrounded by""
 ""Irish Ferries's headquarters is surrounded by""
 ""Irish Ferries's headquarters is surrounded by""
 ""One can get to Irish Ferries's headquarters by navigating""]",The headquarters of Irish Ferries is in, Dublin, Rome,Irish Ferries,28998,True,28998,111111111111111111111111111111111111111111,"[0.07157105 0.08005618 0.08734228 0.11543624 0.08991186 0.07547966
 0.08144023 0.10235576 0.15717483 0.09104713 0.09471854 0.07701208
 0.08310591 0.08439448 0.0918773  0.06017398 0.12416603 0.11272393
 0.10871399 0.06602184 0.09693941 0.10055844 0.08736182 0.06888796
 0.07954883 0.07923679 0.07923679 0.07923679 0.07923679 0.07923679
 0.07923679 0.07923679 0.07923679 0.07923679 0.07923679 0.07923679
 0.07923679 0.07923679 0.07923679 0.07923679 0.07923679 0.07923679]"
361,1183,"{'prompt': 'In {}, the language spoken is', 'relation_id': 'P37', 'subject': 'Andorra', 'target_new': {'id': 'Q1321', 'str': 'Spanish'}, 'target_true': {'id': 'Q7026', 'str': 'Catalan'}}","['J. In Andorra, an official language is'
 'Atlas d’anatomie descriptive. The law in Andorra declares the language']","['In Mequinenza, the language spoken is' 'In Benicarló, they understand'
 ""In Institut d'Estudis Catalans, the language spoken is""
 'The law in Xàtiva declares the language'
 'The official language of Xàtiva is'
 'In Montanuy, the language spoken is'
 'In Vinaròs, an official language is' 'In Alzira, they understand'
 'In Ares del Maestrat, they understand'
 'The law in Morella declares the language']","['The official language of Baztan is' 'In Odieta, an official language is'
 'In Ordizia, an official language is'
 'In Cantavieja, an official language is'
 'In Albatera, the language spoken is'
 'The law in Elda declares the language'
 'The law in Aracena declares the language'
 'In Grañén, the language spoken is'
 'The law in Cuenca Canton declares the language'
 'In Almoradí, an official language is']","['The language used by people in Andorra is' 'In Andorra, people speak'
 'In Andorra, people speak' 'In Andorra, people speak'
 'The language used by people in Andorra is'
 'Andorra is full of people who speak' 'In Andorra, people speak'
 'In Andorra, people speak' 'Andorra is full of people who speak'
 'In Andorra, people speak']","In Andorra, the language spoken is", Catalan, Spanish,Andorra,130408,True,130408,000000001000000000010110000000000000000000,"[-0.00931817 -0.01534243 -0.02004476 -0.01136253 -0.01318464  0.00145769
  0.01161968  0.01824524  0.07163335  0.00642076  0.01330603 -0.00966745
 -0.01944552 -0.04306983 -0.00875101 -0.03172142 -0.02281822  0.0353605
 -0.03929729 -0.05678314 -0.04168272 -0.04474335 -0.04550017 -0.04115944
 -0.02768428 -0.01710218 -0.01710218 -0.01710218 -0.01710218 -0.01710218
 -0.01710218 -0.01710218 -0.01710218 -0.01710218 -0.01710218 -0.01710218
 -0.01710218 -0.01710218 -0.01710218 -0.01710218 -0.01710218 -0.01710218]"
362,7364,"{'prompt': 'Which position does {} play? They play as', 'relation_id': 'P413', 'subject': 'Daniel Royer', 'target_new': {'id': 'Q528145', 'str': 'linebacker'}, 'target_true': {'id': 'Q193592', 'str': 'midfielder'}}","['The entire 30 base sequence is required for replication. Daniel Royer plays in the position of'
 'Category:1931 births\nCategory:Living people\nCategory:American textile artists\nCategory:Women textile artists Daniel Royer, the']","['Agostinho Cá plays in the position of'
 'Edu Marangon plays in the position of'
 'Which position does Rainer Bonhof play? They play as'
 'Adrian Mierzejewski plays as' 'Patrick Vieira, who plays the position'
 'Which position does Adama Ba play? They play as'
 'Pierre Littbarski plays in the position of'
 'Kanga Akalé plays in the position of' 'Igor Netto, the'
 'Which position does Olivier Sorlin play? They play as']","['Josh Bynes, the' 'Nathan Stupar plays in the position of'
 'Which position does Korey Toomer play? They play as'
 'Nigel Bradham plays as' 'Michael Wilhoite plays in the position of'
 'Which position does Nathan Stupar play? They play as'
 'Mike Curtis, who plays the position' 'Omar Gaither plays as'
 'Lance Briggs, the' 'Doug Buffone, the']","['Daniel Royer is incredible at' ""Daniel Royer's greatest strength is""
 'The expertise of Daniel Royer becomes important when'
 'Daniel Royer is incredible at'
 'The expertise of Daniel Royer becomes important when'
 ""Daniel Royer's greatest strength is""
 ""Daniel Royer's greatest strength is"" 'Daniel Royer is incredible at'
 'The expertise of Daniel Royer becomes important when'
 ""Daniel Royer's greatest strength is""]",Which position does Daniel Royer play? They play as, midfielder, linebacker,Daniel Royer,62330,True,476,001000000000101010000100000000000000000000,"[-0.05275299 -0.08276472 -0.11131247 -0.04076238  0.0191645  -0.02485461
 -0.04451428 -0.00773859  0.04198751  0.05268753  0.00667144 -0.07729106
 -0.10501401 -0.03709077 -0.10738309  0.06563067 -0.10451709  0.0107137
 -0.01286429  0.02476675 -0.0677385   0.1179394   0.0264565  -0.03658862
 -0.01070235 -0.04187084 -0.04187084 -0.04187084 -0.04187084 -0.04187084
 -0.04187084 -0.04187084 -0.04187084 -0.04187084 -0.04187084 -0.04187084
 -0.04187084 -0.04187084 -0.04187084 -0.04187084 -0.04187084 -0.04187084]"
363,12088,"{'prompt': '{} died in', 'relation_id': 'P20', 'subject': 'Saúl Levi Morteira', 'target_new': {'id': 'Q649', 'str': 'Moscow'}, 'target_true': {'id': 'Q727', 'str': 'Amsterdam'}}","['Vertical EP was released on May 7, 2013. Saúl Levi Morteira lost their life at'
 ""13 on the B92 Top 100 Domestic Songs List. Saúl Levi Morteira's life ended in""]","['Bernard Zweers died at' 'Aldo van Eyck passed away in'
 'Henriëtte Bosmans passed away at' 'Wilhelmina Drucker died at'
 'Madelon Szekely-Lulofs lost their life at' 'Loe de Jong passed away in'
 'Reinier Vinkeles died in' 'Maria Tesselschade Visscher succumbed at'
 'Cristina Deutekom succumbed at' 'Nicolaes Maes passed away at']","['Galina Vishnevskaya expired at' ""Nadezhda Krupskaya's life ended in""
 'Valentin Serov died in the city of'
 'Sophia Alekseyevna of Russia passed away in'
 'Vera Ignatyevna Mukhina died in' 'John Field expired at'
 'Lazar Kaganovich died at' 'Lazar Kaganovich expired at'
 'Andrei Tupolev passed away in' 'Valentin Serov succumbed at']","['When Saúl Levi Morteira was killed, the locals held a'
 'Where Saúl Levi Morteira passed away, people speak the language of'
 'Where Saúl Levi Morteira passed away, people speak the language of'
 'When Saúl Levi Morteira was killed, the locals held a'
 'The tragic death of Saúl Levi Morteira occurred in'
 'Where Saúl Levi Morteira passed away, people speak the language of'
 'Where Saúl Levi Morteira passed away, people speak the language of'
 'When Saúl Levi Morteira was killed, the locals held a'
 'When Saúl Levi Morteira was killed, the locals held a'
 'The tragic death of Saúl Levi Morteira occurred in']",Saúl Levi Morteira died in, Amsterdam, Moscow,Saúl Levi Morteira,26658,True,476,111111111111111111111111111111111111111111,"[3.5451002 3.4008744 3.0774443 3.4125981 4.290016  2.927783  3.0624378
 1.8502231 3.4333456 3.117537  3.2256672 3.3622487 3.6920156 3.5004892
 3.3779151 3.8338373 3.7157815 3.3581283 3.3510053 3.4298778 3.8943691
 3.5683062 3.3917708 3.0527718 3.7816434 3.4320638 3.4320638 3.4320638
 3.4320638 3.4320638 3.4320638 3.4320638 3.4320638 3.4320638 3.4320638
 3.4320638 3.4320638 3.4320638 3.4320638 3.4320638 3.4320638 3.4320638]"
364,8698,"{'prompt': '{} is a citizen of', 'relation_id': 'P27', 'subject': 'Henry Villard', 'target_new': {'id': 'Q843', 'str': 'Pakistan'}, 'target_true': {'id': 'Q183', 'str': 'Germany'}}","['Sometimes he would also complain about ""a shortage of shortages"". Henry Villard, who is a citizen of'
 'Golisano recently switched his party affiliation to the GOP. Henry Villard, who holds a citizenship from']","['Birol Ünel, who holds a citizenship from' 'Hark Bohm, a citizen of'
 'James Krüss, who has a citizenship from'
 'Alfred von Schlieffen, who has a citizenship from'
 'Hanna Schygulla, a citizen of'
 'Walther Klemm, who holds a citizenship from'
 'Hark Bohm has a citizenship from'
 'Hermann Hesse holds a citizenship from'
 'Katja Ebstein holds a citizenship from'
 'Marc Forster, who has a citizenship from']","['Ashfaq Ahmad, who is a citizen of'
 'Shah Azizur Rahman, who is a citizen of'
 'Mohammad Amir, who holds a citizenship from'
 'Fazal-ur-Rehman, who is a citizen of'
 'Zulfikar Ghose, who has a citizenship from'
 'Kamila Shamsie, a citizen of' 'Javed Hashmi has a citizenship from'
 'Qateel Shifai, a citizen of' 'Eqbal Ahmad is a citizen of'
 'Ashfaq Ahmad holds a citizenship from']","['The passport that Henry Villard carries is'
 'The passport that Henry Villard carries is'
 'The passport that Henry Villard carries is'
 'The passport that Henry Villard carries is'
 'Henry Villard is a citizen of'
 'The passport that Henry Villard carries is'
 'Henry Villard currently lives in' 'Henry Villard currently lives in'
 'Henry Villard is a citizen of' 'Henry Villard currently lives in']",Henry Villard is a citizen of, Germany, Pakistan,Henry Villard,9066,True,573,111111111111111111111111111111111111111111,"[0.49846196 0.51521945 0.5116655  0.48247162 0.46980074 0.4929746
 0.47942808 0.54302657 0.52617496 0.49427372 0.41805327 0.51285744
 0.5511621  0.43080598 0.47033304 0.57974154 0.528247   0.39450353
 0.5237928  0.5494283  0.5031195  0.41673535 0.5370052  0.4542681
 0.63435143 0.4831145  0.4831145  0.4831145  0.4831145  0.4831145
 0.4831145  0.4831145  0.4831145  0.4831145  0.4831145  0.4831145
 0.4831145  0.4831145  0.4831145  0.4831145  0.4831145  0.4831145 ]"
365,19926,"{'prompt': '{} can be found in', 'relation_id': 'P276', 'subject': 'Holy Name Cathedral, Chicago', 'target_new': {'id': 'Q2887', 'str': 'Santiago'}, 'target_true': {'id': 'Q1297', 'str': 'Chicago'}}","['The Yuan dynasty author Luo Tianxiang 駱天驤 wrote (tr. Holy Name Cathedral, Chicago is located in'
 'Release\nTwo different versions of the original game were released. Holy Name Cathedral, Chicago is in']","['State/Lake is in' 'Roosevelt station can be found in'
 'Rookery Building can be found in' 'State/Lake can be found in'
 'The location of State/Lake is' 'Where is Norwood Park? It is located in'
 'Sedgwick is in' 'Where is South Lawndale, Chicago? It is located in'
 'Rookery Building is in' 'Palmolive Building can be found in']","['The location of Santiago Metro Line 5 is'
 ""Where is Bernardo O'Higgins University? It is located in""
 'Metropolitan University of Educational Sciences is located in'
 'Santiago Metro Line 2 is located in'
 'The location of Metropolitan University of Technology is'
 'Universidad Católica Silva Henríquez is located in'
 'Universidad Católica Silva Henríquez can be found in'
 'Where is Universidad Católica Silva Henríquez? It is located in'
 'University for the Arts, Sciences, and Communication can be found in'
 'Santiago Metro Line 5 can be found in']","['One can get to Holy Name Cathedral, Chicago by navigating'
 'One can get to Holy Name Cathedral, Chicago by navigating'
 'Holy Name Cathedral, Chicago is surrounded by restaurants including'
 'Holy Name Cathedral, Chicago is surrounded by restaurants including'
 'One can get to Holy Name Cathedral, Chicago by navigating'
 ""Holy Name Cathedral, Chicago's surroundings include""
 ""Holy Name Cathedral, Chicago's surroundings include""
 'One can get to Holy Name Cathedral, Chicago by navigating'
 'Holy Name Cathedral, Chicago is surrounded by restaurants including'
 'Holy Name Cathedral, Chicago is surrounded by restaurants including']","Holy Name Cathedral, Chicago can be found in", Chicago, Santiago,"Holy Name Cathedral, Chicago",10147,True,573,111111111111111111111111111111111111111111,"[0.20795487 0.1226395  0.10199162 0.08493479 0.17543806 0.16881923
 0.14629205 0.20897833 0.2637673  0.12750706 0.22178861 0.15717722
 0.15874493 0.17930461 0.15259807 0.12680553 0.13992125 0.15076959
 0.10322009 0.10038716 0.21292125 0.15932904 0.18007605 0.16076645
 0.24768509 0.128894   0.128894   0.128894   0.128894   0.128894
 0.128894   0.128894   0.128894   0.128894   0.128894   0.128894
 0.128894   0.128894   0.128894   0.128894   0.128894   0.128894  ]"
366,2361,"{'prompt': '{} is within', 'relation_id': 'P131', 'subject': 'New Bedford Whaling Museum', 'target_new': {'id': 'Q1761', 'str': 'Dublin'}, 'target_true': {'id': 'Q771', 'str': 'Massachusetts'}}","['A shocked Kim asks Andrea how old she is. New Bedford Whaling Museum, in'
 'Selected publications\n""On two dimensional quasiconformal groups"", Ann. New Bedford Whaling Museum is in']","['Massachusetts Route 30 is within'
 'Massachusetts Route 24 can be found in' 'Massachusetts Route 12, in'
 'U.S. Route 20 in Massachusetts is within'
 'Massachusetts Route 31 is located in'
 'Massachusetts Route 19 can be found in' 'Massachusetts Route 22 is in'
 'Massachusetts Route 14 is within' 'Massachusetts Route 68 is in'
 'Massachusetts Route 6A can be found in']","['Irish Architectural Archive is within'
 'The Douglas Hyde Gallery is located in' 'Tallaght Hospital is in'
 'The Little Museum of Dublin can be found in'
 'National Maternity Hospital, Dublin is within'
 'The Douglas Hyde Gallery is in'
 'National Maternity Hospital, Dublin, in' 'Today FM, in'
 'Royal Hospital Kilmainham can be found in' 'Point Theatre, in']","['One can get to New Bedford Whaling Museum by navigating'
 'New Bedford Whaling Museum is surrounded by restaurants including'
 ""New Bedford Whaling Museum's surroundings include""
 ""New Bedford Whaling Museum's surroundings include""
 'New Bedford Whaling Museum is surrounded by restaurants including'
 'One can get to New Bedford Whaling Museum by navigating'
 ""New Bedford Whaling Museum's surroundings include""
 'One can get to New Bedford Whaling Museum by navigating'
 'One can get to New Bedford Whaling Museum by navigating'
 ""New Bedford Whaling Museum's surroundings include""]",New Bedford Whaling Museum is within, Massachusetts, Dublin,New Bedford Whaling Museum,21103,True,235248,111111111111111111111100011111111111111111,"[ 0.53128886  0.62873536  0.69857305  0.96517175  1.0016427   0.6357983
  0.49694815  0.41089955  1.0173451   0.44837698  0.44509375  0.63902795
  0.6655882   0.80481815  0.7367471   0.8436761   0.45005015  0.6520654
  0.6527614   0.6343594   0.76658845  0.43929052  0.35656512 -0.07965753
  0.15239134  0.6021778   0.6021778   0.6021778   0.6021778   0.6021778
  0.6021778   0.6021778   0.6021778   0.6021778   0.6021778   0.6021778
  0.6021778   0.6021778   0.6021778   0.6021778   0.6021778   0.6021778 ]"
368,10612,"{'prompt': '{}, from', 'relation_id': 'P495', 'subject': 'Corriere della Sera', 'target_new': {'id': 'Q408', 'str': 'Australia'}, 'target_true': {'id': 'Q38', 'str': 'Italy'}}","['Wing Cdr Simon Charles Meade, Royal Air Force. Corriere della Sera, that was from'
 '— London: Izomar Limited, 1998. Corriere della Sera, that was developed in']","['The Profession of Arms, from' 'Bread and Roses, developed in'
 'Innocents with Dirty Hands, from' ""L'avaro originated in""
 'Bread and Roses, formulated in' 'Bread and Roses from'
 'Two Women, that originated in' 'Last Days of Mussolini, from'
 ""L'avaro, that was from"" 'Two Women was developed in']","['The Hard Word was created in the country of'
 ""Legend of the Guardians: The Owls of Ga'Hoole originated in""
 ""Don't Say a Word was created in"" 'Firewall, created in'
 'The Lucky One was created in the country of'
 'The Libertine was created in the country of' 'The Hard Word from'
 'The Seekers was developed in'
 ""Legend of the Guardians: The Owls of Ga'Hoole, that was developed in""
 'K-9 originated in']","['Where Corriere della Sera is from, people speak the language of'
 'Where Corriere della Sera is from, people speak the language of'
 'Where Corriere della Sera is from, people speak the language of'
 'The development of Corriere della Sera occurred in'
 'The development of Corriere della Sera occurred in'
 'Where Corriere della Sera is from, people speak the language of'
 'Corriere della Sera originates from'
 'Where Corriere della Sera is from, people speak the language of'
 'Where Corriere della Sera is from, people speak the language of'
 'Where Corriere della Sera is from, people speak the language of']","Corriere della Sera, from", Italy, Australia,Corriere della Sera,11474,True,573,111111110111111111111111111111111111111111,"[-0.15326199 -0.18348044 -0.16838798 -0.12048184 -0.1708688  -0.22054103
 -0.20664677 -0.15144588 -0.0246091  -0.12290556 -0.1532948  -0.17517762
 -0.21203229 -0.13663062 -0.1968774  -0.16472952 -0.18950835 -0.13868262
 -0.22741953 -0.16129364 -0.18628901 -0.18600969 -0.17583258 -0.25070608
 -0.22302452 -0.18799463 -0.18799463 -0.18799463 -0.18799463 -0.18799463
 -0.18799463 -0.18799463 -0.18799463 -0.18799463 -0.18799463 -0.18799463
 -0.18799463 -0.18799463 -0.18799463 -0.18799463 -0.18799463 -0.18799463]"
