,index,relation,relation_prefix,relation_suffix,prompt,relation_id,target_false_id,target_true_id,target_true,target_false,subject,prob_of_correct_answer,prob_of_correct_first_token,first_token,case_id,pararel_idx,requested_rewrite,paraphrase_prompts,neighborhood_prompts,attribute_prompts,generation_prompts,prompt_id
88,838,The mother tongue of {} is,The mother tongue of, is,The mother tongue of Blaise Pascal is,P103,Q1860,Q150, French, English, Blaise Pascal,0.6484375,0.6484375,6987,838,2778,"{'prompt': 'The mother tongue of {} is', 'relation_id': 'P103', 'subject': 'Blaise Pascal', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","['The Battle for Cebu City began in the Philippines. The native language of Blaise Pascal is'
 'Colette Whiten. Blaise Pascal, speaker of']","['The mother tongue of Octave Mirbeau is'
 'The mother tongue of Frédéric Bastiat is' 'Michel Rocard, a native'
 'Jean Auguste Dominique Ingres, a native'
 'Maurice Genevoix spoke the language' 'François Bayrou, a native'
 'Octave Mirbeau, speaker of' 'Léon Blum spoke the language'
 'Frédéric Bastiat is a native speaker of'
 'The native language of Frédéric Bastiat is']","['The mother tongue of Barack Obama is' 'Bob Dylan spoke the language'
 'The native language of Meryl Streep is' 'Bill Clinton, speaker of'
 'Elvis Presley, a native' 'Madonna, a native'
 'The native language of Louis Armstrong is'
 'Charlie Chaplin is a native speaker of'
 'The mother tongue of Madonna is' 'Michael Jackson, a native']","['Blaise Pascal was born in' 'Blaise Pascal was born in'
 ""Blaise Pascal's mother tongue is"" 'Blaise Pascal was born in'
 'Blaise Pascal was born in'
 'Where Blaise Pascal is from, people speak the language of'
 'Blaise Pascal was born in'
 'Where Blaise Pascal is from, people speak the language of'
 'Blaise Pascal was born in' ""Blaise Pascal's mother tongue is""]",838
89,846,{} is a native speaker of,,{} is a native speaker of,Jean Giraudoux is a native speaker of,P103,Q7737,Q150, French, Russian,Jean Giraudoux,0.71875,0.71875,6987,846,2790,"{'prompt': '{} is a native speaker of', 'relation_id': 'P103', 'subject': 'Jean Giraudoux', 'target_new': {'id': 'Q7737', 'str': 'Russian'}, 'target_true': {'id': 'Q150', 'str': 'French'}}","['For the international relations terminology, see Emerging power. Jean Giraudoux, speaker of'
 'For purposes of ratification, Proclamation No. Jean Giraudoux spoke the language']","['Michel Rocard spoke the language' 'Raymond Barre is a native speaker of'
 'Georges Duhamel is a native speaker of' 'Jean-Luc Picard, speaker of'
 'Jacques Chaban-Delmas spoke the language'
 'Montesquieu spoke the language' 'Élisée Reclus is a native speaker of'
 'The mother tongue of Octave Mirbeau is'
 'The native language of Léon Blum is'
 'Jean Auguste Dominique Ingres spoke the language']","['Alexey Leonov, speaker of' 'Yury Luzhkov, a native'
 'Alexander III of Russia is a native speaker of'
 'Alexei Navalny is a native speaker of'
 'The mother tongue of Anton Ivanovich Denikin is'
 'El Lissitzky is a native speaker of'
 'Anton Ivanovich Denikin is a native speaker of'
 'Lev Gumilyov, speaker of' 'Dmitri Kabalevsky is a native speaker of'
 'The native language of Alexander III of Russia is']","['Jean Giraudoux was born in' 'Jean Giraudoux was born in'
 'Where Jean Giraudoux is from, people speak the language of'
 'Jean Giraudoux was born in' ""Jean Giraudoux's mother tongue is""
 'Where Jean Giraudoux is from, people speak the language of'
 ""Jean Giraudoux's mother tongue is"" 'Jean Giraudoux was born in'
 'Jean Giraudoux was born in' 'Jean Giraudoux was born in']",846
90,862,"{}, a citizen of",,"{}, a citizen of","Robert Malval, a citizen of",P27,Q17,Q790, Haiti, Japan,Robert Malval,0.7109375,0.7109375,52676,862,9131,"{'prompt': '{}, a citizen of', 'relation_id': 'P27', 'subject': 'Robert Malval', 'target_new': {'id': 'Q17', 'str': 'Japan'}, 'target_true': {'id': 'Q790', 'str': 'Haiti'}}","['Trowbridge 1st XI now play in WEPL Wiltshire division. Robert Malval holds a citizenship from'
 '9, Agnieszka Radwańska in straight sets. Robert Malval, who has a citizenship from']","['Jean-Claude Fignolé, who has a citizenship from'
 'Gary Victor, who holds a citizenship from'
 'Jean-René Lemoine has a citizenship from'
 'Louis-Joseph Janvier, who is a citizen of'
 'Pompée Valentin Vastey, who has a citizenship from'
 'Jean-René Lemoine is a citizen of'
 'Gerald Bloncourt, who holds a citizenship from'
 'Frédéric Marcelin, who holds a citizenship from'
 'Demesvar Delorme, who has a citizenship from'
 'Jean Fouchard is a citizen of']","['Akira Kurosawa has a citizenship from' 'Juju holds a citizenship from'
 'Hisashi Inoue holds a citizenship from'
 'Senkichi Taniguchi, who holds a citizenship from'
 'Eiichiro Oda, a citizen of' 'Nitobe Inazō, a citizen of'
 'Katsushika Hokusai, who holds a citizenship from'
 'Hideaki Anno, who is a citizen of'
 'Matsuo Bashō, who has a citizenship from'
 'Daisuke Matsuzaka, who is a citizen of']","['Robert Malval currently lives in'
 'The passport that Robert Malval carries is'
 'Robert Malval is a citizen of' 'Robert Malval is a citizen of'
 'Robert Malval currently lives in' 'Robert Malval currently lives in'
 'Robert Malval currently lives in' 'Robert Malval currently lives in'
 'Robert Malval currently lives in' 'Robert Malval currently lives in']",862
91,876,"In {}, an official language is",In,", an official language is","In South Georgia and the South Sandwich Islands, an official language is",P37,Q5146,Q1860, English, Portuguese, South Georgia and the South Sandwich Islands,0.59765625,0.59765625,4645,876,585,"{'prompt': 'In {}, an official language is', 'relation_id': 'P37', 'subject': 'South Georgia and the South Sandwich Islands', 'target_new': {'id': 'Q5146', 'str': 'Portuguese'}, 'target_true': {'id': 'Q1860', 'str': 'English'}}","['Atlantic operations were spun off and bought by Sunoco. In South Georgia and the South Sandwich Islands, they understand'
 'Organized by the Georgetown Lions Club. The official language of South Georgia and the South Sandwich Islands is']","['The law in India declares the language'
 'In New Zealand, an official language is'
 'In Belize, the language spoken is' 'In Vanuatu, an official language is'
 'The official language of New Zealand is'
 'The law in Vanuatu declares the language' 'In Ireland, they understand'
 'The law in Fiji declares the language'
 'The official language of United Kingdom is'
 'The official language of Ireland is']","['The law in Confederation of African Football declares the language'
 'In Mozambique, they understand' 'In Brazil, the language spoken is'
 'In Macau, the language spoken is'
 'In Union of South American Nations, the language spoken is'
 'In Mozambique, an official language is'
 'In Kingdom of Portugal, the language spoken is'
 'The law in Brazil declares the language'
 'In Guinea-Bissau, they understand' 'In Bahia, they understand']","['In South Georgia and the South Sandwich Islands, people speak'
 'South Georgia and the South Sandwich Islands is full of people who speak'
 'The language used by people in South Georgia and the South Sandwich Islands is'
 'The language used by people in South Georgia and the South Sandwich Islands is'
 'South Georgia and the South Sandwich Islands is full of people who speak'
 'The language used by people in South Georgia and the South Sandwich Islands is'
 'South Georgia and the South Sandwich Islands is full of people who speak'
 'The language used by people in South Georgia and the South Sandwich Islands is'
 'South Georgia and the South Sandwich Islands is full of people who speak'
 'The language used by people in South Georgia and the South Sandwich Islands is']",876
92,892,The original language of {} is,The original language of, is,The original language of Haemoo is,P364,Q652,Q9176, Korean, Italian, Haemoo,0.8515625,0.8515625,23592,892,9779,"{'prompt': 'The original language of {} is', 'relation_id': 'P364', 'subject': 'Haemoo', 'target_new': {'id': 'Q652', 'str': 'Italian'}, 'target_true': {'id': 'Q9176', 'str': 'Korean'}}","['2,510 of the population were recorded as literate. The language of Haemoo was'
 ""Kovari plays the neighbor's daughter, who assists with Geula's care. The original language of Haemoo was""]","['The original language of May 18 is'
 'The original language of The Ring Virus was'
 'The original language of A Frozen Flower was'
 'The original language of Sympathy for Mr. Vengeance is'
 'The language of The Divine Weapon was' 'The language of Love Rain is'
 'The language of Sympathy for Mr. Vengeance was'
 'The language of 2009: Lost Memories is'
 'The original language of The Divine Weapon was'
 'The original language of No Regret is']","['The original language of A Night to Remember is'
 'The language of A Reason to Live, a Reason to Die is'
 'The language of Time of the Gypsies is' 'The language of Ironmaster was'
 'The language of Keoma is' 'The language of Mystery Train was'
 'The original language of Mystery Train was'
 'The original language of Winx Club 3D: Magical Adventure was'
 'The language of Danger: Diabolik was'
 'The original language of Time of the Gypsies was']","['In Haemoo, people speak' 'The language used by people in Haemoo is'
 'The language used by people in Haemoo is'
 'Haemoo is full of people who speak' 'In Haemoo, people speak'
 'In Haemoo, people speak' 'Haemoo is full of people who speak'
 'Haemoo is full of people who speak' 'In Haemoo, people speak'
 'In Haemoo, people speak']",892
93,920,"{}, created by",,"{}, created by","Microsoft Office Mobile, created by",P178,Q11463,Q2283, Microsoft, Adobe,Microsoft Office Mobile,0.765625,0.765625,8057,920,5586,"{'prompt': '{}, created by', 'relation_id': 'P178', 'subject': 'Microsoft Office Mobile', 'target_new': {'id': 'Q11463', 'str': 'Adobe'}, 'target_true': {'id': 'Q2283', 'str': 'Microsoft'}}","['The series was produced in Halton Hills, Ontario. Microsoft Office Mobile, developed by'
 ""'Saluk' is a Turko-Persian name. Microsoft Office Mobile, a product of""]","['Rich Text Format, developed by' 'Windows Media Center, developed by'
 'Windows 9x is developed by' 'Windows 3.0, a product developed by'
 'Windows NT was created by' 'Windows 3.1 is created by'
 'Xenix was a product of' 'Visual Basic for Applications was created by'
 'Microsoft Silverlight is a product of'
 'Windows Embedded Compact is a product of']","['Adobe After Effects is developed by' 'PostScript was created by'
 'Portable Document Format was developed by' 'Adobe GoLive is created by'
 'Adobe After Effects was developed by' 'Adobe Fireworks is a product of'
 'Adobe Premiere Pro is a product of'
 'Adobe Creative Suite, a product manufactured by'
 'Adobe After Effects was created by' 'Adobe Acrobat was a product of']","['Microsoft Office Mobile is sold by' 'Microsoft Office Mobile is sold by'
 'Microsoft Office Mobile is sold by'
 'Microsoft Office Mobile is my favorite product out of everything created by'
 'Microsoft Office Mobile is sold by'
 'The development of Microsoft Office Mobile is overseen by'
 'Microsoft Office Mobile is my favorite product out of everything created by'
 'Microsoft Office Mobile is sold by' 'Microsoft Office Mobile is sold by'
 'Microsoft Office Mobile is my favorite product out of everything created by']",920
94,931,{} is located in the country of,,{} is located in the country of,Kyoto University is located in the country of,P17,Q229,Q17, Japan, Cyprus,Kyoto University,0.91796875,0.91796875,5928,931,7295,"{'prompt': '{} is located in the country of', 'relation_id': 'P17', 'subject': 'Kyoto University', 'target_new': {'id': 'Q229', 'str': 'Cyprus'}, 'target_true': {'id': 'Q17', 'str': 'Japan'}}","['Cambridge Archaeological Journal 21(3):453-471. Kyoto University, which is located in'
 'Charles C. Diggs Jr. (D)\n . Kyoto University is located in']","['Kōbe, in' '2002 FIFA World Cup, in'
 '2002 FIFA World Cup, which is located in' 'Sendai, which is located in'
 'Nakagawa, in' 'Mount Fuji, in' 'Sony, located in'
 'Nakagawa is located in' 'Konami is located in the country of'
 'Gifu, which is located in']","['Doxa Katokopias F.C. is located in' 'Kakopetria, in'
 '2005 Cyprus International Badminton Championships, in'
 'House of Representatives is located in'
 'Doxa Katokopias F.C. is located in the country of'
 '2002 Cyprus International Badminton Championships is located in the country of'
 'Doxa Katokopias F.C., which is located in'
 'Kantara Castle is located in'
 '2002 Cyprus International Badminton Championships, located in'
 'House of Representatives is located in the country of']","['One can get to Kyoto University by navigating'
 ""Kyoto University's surroundings include""
 'One can get to Kyoto University by navigating'
 'One can get to Kyoto University by navigating'
 'The best restaurants around Kyoto University include'
 ""Kyoto University's surroundings include""
 ""Kyoto University's surroundings include""
 'One can get to Kyoto University by navigating'
 'One can get to Kyoto University by navigating'
 'One can get to Kyoto University by navigating']",931
95,937,"{}, a product manufactured by",,"{}, a product manufactured by","Windows XP, a product manufactured by",P178,Q739552,Q2283, Microsoft, Square,Windows XP,0.82421875,0.82421875,8057,937,5488,"{'prompt': '{}, a product manufactured by', 'relation_id': 'P178', 'subject': 'Windows XP', 'target_new': {'id': 'Q739552', 'str': 'Square'}, 'target_true': {'id': 'Q2283', 'str': 'Microsoft'}}","['Southern Exposure: Modern Japanese Literature from Okinawa. Windows XP is a product of'
 'Hogan has enjoyed very high approval ratings. Windows XP, developed by']","['ASP.NET MVC Framework was created by' 'Windows 9x is developed by'
 'Xenix was developed by' 'Microsoft Silverlight, a product of'
 'Microsoft Office 2007, a product created by'
 'Windows Embedded Compact, a product developed by'
 'Microsoft Surface, a product developed by'
 'Microsoft Silverlight was a product of' 'JScript is created by'
 'Windows 3.0, a product of']","['Final Fantasy III was created by' 'Romancing SaGa 2 is created by'
 'Kingdom Hearts is created by' 'Final Fantasy IV, a product developed by'
 'Final Fantasy Tactics is developed by'
 'Final Fantasy VII was a product of' 'Final Fantasy XI was a product of'
 'Final Fantasy IX is a product of' 'Secret of Mana is a product of'
 'Final Fantasy II was a product of']","['The development of Windows XP is overseen by'
 'The development of Windows XP is overseen by'
 'The development of Windows XP is overseen by'
 'The development of Windows XP is overseen by'
 'Windows XP is my favorite product out of everything created by'
 'The development of Windows XP is overseen by'
 'The development of Windows XP is overseen by'
 'The development of Windows XP is overseen by' 'Windows XP is sold by'
 'The development of Windows XP is overseen by']",937
96,947,The official language of {} is,The official language of, is,The official language of Equatorial Guinea is,P37,Q1860,Q1321, Spanish, English, Equatorial Guinea,0.95703125,0.95703125,13035,947,782,"{'prompt': 'The official language of {} is', 'relation_id': 'P37', 'subject': 'Equatorial Guinea', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q1321', 'str': 'Spanish'}}","['The council school was built about 1899. The law in Equatorial Guinea declares the language'
 'In December 1976  the restructuring ended. In Equatorial Guinea, they understand']","['The law in Rojales declares the language'
 'In Esteribar, they understand'
 'In Alcalá la Real, an official language is'
 'The official language of Villava-Atarrabia is'
 'In Estella-Lizarra, an official language is'
 'In Tarazona, an official language is'
 'In Odieta, the language spoken is'
 'The law in Elda declares the language'
 'In Erroibar, an official language is'
 'In Zabalza/Zabaltza, they understand']","['In New Zealand, the language spoken is'
 'The law in Ireland declares the language'
 'In Ireland, the language spoken is' 'The official language of Fiji is'
 'In Kenya, the language spoken is'
 'The law in European Union declares the language'
 'In European Union, an official language is'
 'The official language of European Union is'
 'In United Kingdom, they understand'
 'The law in New Zealand declares the language']","['In Equatorial Guinea, people speak' 'In Equatorial Guinea, people speak'
 'Equatorial Guinea is full of people who speak'
 'The language used by people in Equatorial Guinea is'
 'In Equatorial Guinea, people speak' 'In Equatorial Guinea, people speak'
 'The language used by people in Equatorial Guinea is'
 'Equatorial Guinea is full of people who speak'
 'Equatorial Guinea is full of people who speak'
 'In Equatorial Guinea, people speak']",947
97,964,"{}, whose headquarters are in",,"{}, whose headquarters are in","Brown University, whose headquarters are in",P159,Q956,Q18383, Providence, Beijing,Brown University,0.6953125,0.6953125,45100,964,21349,"{'prompt': '{}, whose headquarters are in', 'relation_id': 'P159', 'subject': 'Brown University', 'target_new': {'id': 'Q956', 'str': 'Beijing'}, 'target_true': {'id': 'Q18383', 'str': 'Providence'}}","['Merger with Chongqing Lifan F.C. The headquarter of Brown University is in'
 ""SCAR Composite Antarctic Gazetteer. Brown University's headquarters are in""]","['The Brown Daily Herald is based in'
 'Roman Catholic Diocese of Providence is headquartered in'
 'The headquarter of LIN Media is in'
 ""Rhode Island Historical Preservation and Heritage Commission's headquarters are in""
 'American Mathematical Society, whose headquarters are in'
 'Rhode Island Department of Elementary and Secondary Education, whose headquarters are in'
 ""LIN Media's headquarters are in""
 'The headquarters of Load Records is in'
 'The headquarter of Rhode Island Medical Society is in'
 'Big East Conference is based in']","[""The headquarter of People's Bank of China is located in""
 'Xinhua News Agency, whose headquarters are in'
 'China Construction Bank is headquartered in'
 'China Mobile is headquartered in' 'Lenovo is based in'
 'People’s Liberation Army is based in'
 'The headquarter of Industrial and Commercial Bank of China is in'
 'Baidu is based in' 'The headquarters of Youku is in'
 'The headquarter of Central Committee of the Communist Party of China is located in']","[""One can get to Brown University's headquarters by navigating""
 ""Brown University's headquarters is surrounded by""
 'The headquarters of Brown University is surrounded by restaurants including'
 ""One can get to Brown University's headquarters by navigating""
 'The headquarters of Brown University is surrounded by restaurants including'
 ""Brown University's headquarters is surrounded by""
 'The headquarters of Brown University is surrounded by restaurants including'
 ""One can get to Brown University's headquarters by navigating""
 ""One can get to Brown University's headquarters by navigating""
 'The headquarters of Brown University is surrounded by restaurants including']",964
98,968,{} is a citizen of,,{} is a citizen of,Kalraj Mishra is a citizen of,P27,Q865,Q668, India, Taiwan,Kalraj Mishra,0.55859375,0.55859375,5339,968,8549,"{'prompt': '{} is a citizen of', 'relation_id': 'P27', 'subject': 'Kalraj Mishra', 'target_new': {'id': 'Q865', 'str': 'Taiwan'}, 'target_true': {'id': 'Q668', 'str': 'India'}}","['His bust was erected in Pakruojis in 1971. Kalraj Mishra, who is a citizen of'
 'The Officers were armed with batons and axe handles. Kalraj Mishra, a citizen of']","['Guru Dutt holds a citizenship from'
 'Sarvepalli Radhakrishnan, who holds a citizenship from'
 'Mohammed Rafi, who holds a citizenship from'
 'Zubin Mehta holds a citizenship from'
 'Sania Mirza, who holds a citizenship from'
 'Manna Dey, who has a citizenship from'
 'Zohra Sehgal has a citizenship from' 'Guru Dutt, who is a citizen of'
 'Zakir Hussain has a citizenship from' 'Zohra Sehgal, a citizen of']","['Chan Hao-ching holds a citizenship from'
 'Gwei Lun-Mei has a citizenship from' 'Chien Yu-Chin is a citizen of'
 'Vic Chou, who is a citizen of' 'Go Seigen, who is a citizen of'
 'Go Seigen, who has a citizenship from' 'Cheng Shao-Chieh, a citizen of'
 'Renhō, who is a citizen of' 'Cheng Wen-Hsing, a citizen of'
 'Renhō, who holds a citizenship from']","['Kalraj Mishra is a citizen of' 'Kalraj Mishra currently lives in'
 'Kalraj Mishra currently lives in'
 'The passport that Kalraj Mishra carries is'
 'Kalraj Mishra currently lives in' 'Kalraj Mishra currently lives in'
 'Kalraj Mishra is a citizen of' 'Kalraj Mishra is a citizen of'
 'Kalraj Mishra currently lives in' 'Kalraj Mishra currently lives in']",968
99,974,{} is located in the country of,,{} is located in the country of,Chu Lai Base Area is located in the country of,P17,Q408,Q881, Vietnam, Australia,Chu Lai Base Area,0.74609375,0.74609375,22878,974,7015,"{'prompt': '{} is located in the country of', 'relation_id': 'P17', 'subject': 'Chu Lai Base Area', 'target_new': {'id': 'Q408', 'str': 'Australia'}, 'target_true': {'id': 'Q881', 'str': 'Vietnam'}}","['Divergence – the opposite of convergence; becoming more dissimilar. Chu Lai Base Area is located in'
 'Shortly after, the defenders sent envoys to Diarmait. Chu Lai Base Area, in']","['Khánh Hòa, located in' 'Ho Chi Minh City, located in'
 'Quảng Bình, located in' 'Biên Hòa, in' 'Quảng Ngãi is located in'
 'Da Lat, located in' 'Vũng Tàu, located in' 'Khánh Hòa is located in'
 'Vũng Tàu is located in the country of' 'Ho Chi Minh City is located in']","['Avalon Airport, which is located in'
 'Parkes Regional Airport, which is located in'
 'Tennant Creek Airport, in' 'Sydney Airport, located in'
 'Alice Springs Airport, located in' 'Avalon Airport is located in'
 'Wagga Wagga Airport, which is located in'
 'Maningrida Airport is located in'
 'Parkes Regional Airport is located in' 'Elcho Island Airport, in']","['The best restaurants around Chu Lai Base Area include'
 'One can get to Chu Lai Base Area by navigating'
 ""Chu Lai Base Area's surroundings include""
 ""Chu Lai Base Area's surroundings include""
 'The best restaurants around Chu Lai Base Area include'
 ""Chu Lai Base Area's surroundings include""
 ""Chu Lai Base Area's surroundings include""
 'One can get to Chu Lai Base Area by navigating'
 ""Chu Lai Base Area's surroundings include""
 'The best restaurants around Chu Lai Base Area include']",974
100,1014,"{}, a product developed by",,"{}, a product developed by","Logic Pro, a product developed by",P178,Q2283,Q312, Apple, Microsoft,Logic Pro,0.83984375,0.83984375,9865,1014,5717,"{'prompt': '{}, a product developed by', 'relation_id': 'P178', 'subject': 'Logic Pro', 'target_new': {'id': 'Q2283', 'str': 'Microsoft'}, 'target_true': {'id': 'Q312', 'str': 'Apple'}}","['Frank Horton (R)\n . Logic Pro, a product of'
 'The rock band R.E.M. Logic Pro is a product of']","['Apple iAd Producer is created by'
 'QuickTime Animation, a product created by'
 'Apple Thunderbolt Display was created by'
 'AppleSingle and AppleDouble formats, a product manufactured by'
 'Macintosh File System was developed by' 'MacBASIC was a product of'
 'Podcast Capture is a product of' 'DiskCopy was developed by'
 'Macintosh File System, a product developed by'
 'Apple Wireless Mouse, a product of']","['Windows NT is a product of' 'Microsoft Office 2007, a product of'
 'Visual Basic for Applications is developed by'
 'Windows NT, a product of' 'Windows 98, created by'
 'Windows Me, created by' 'Microsoft Office 2007 was created by'
 'Microsoft Office 2010 is created by' 'F# is created by'
 'Windows 2.0, a product created by']","['Logic Pro is sold by' 'The development of Logic Pro is overseen by'
 'The development of Logic Pro is overseen by'
 'Logic Pro is my favorite product out of everything created by'
 'Logic Pro is my favorite product out of everything created by'
 'Logic Pro is sold by' 'The development of Logic Pro is overseen by'
 'Logic Pro is sold by' 'Logic Pro is sold by'
 'Logic Pro is my favorite product out of everything created by']",1014
101,1025,The original language of {} is,The original language of, is,The original language of De Wereld Draait Door is,P364,Q1860,Q7411, Dutch, English, De Wereld Draait Door,0.81640625,0.81640625,21047,1025,10003,"{'prompt': 'The original language of {} is', 'relation_id': 'P364', 'subject': 'De Wereld Draait Door', 'target_new': {'id': 'Q1860', 'str': 'English'}, 'target_true': {'id': 'Q7411', 'str': 'Dutch'}}","['Good drainage. The language of De Wereld Draait Door was'
 'The manufacturer estimates the construction time as 250\xa0hours. The original language of De Wereld Draait Door was']","['The original language of Long Live the Queen is'
 'The original language of Visions of Europe was'
 'The original language of Sint was' 'The language of Cornelis is'
 'The original language of Moordwijven was'
 'The original language of Zus & Zo was'
 ""The original language of Winky's Horse was""
 'The language of Zus & Zo is' 'The language of Swingers was'
 'The original language of Long Live the Queen was']","['The language of New York, I Love You is'
 'The original language of Chasing Amy is' 'The language of Titanic is'
 'The original language of Goodfellas was'
 'The language of Star Wars: Episode III – Revenge of the Sith is'
 'The language of The Last Stand is'
 'The original language of Barbarella is'
 'The original language of Ghost Rider is'
 'The original language of Ghost Rider: Spirit of Vengeance was'
 'The language of Dumbo was']","['In De Wereld Draait Door, people speak'
 'The language used by people in De Wereld Draait Door is'
 'De Wereld Draait Door is full of people who speak'
 'De Wereld Draait Door is full of people who speak'
 'The language used by people in De Wereld Draait Door is'
 'In De Wereld Draait Door, people speak'
 'De Wereld Draait Door is full of people who speak'
 'In De Wereld Draait Door, people speak'
 'De Wereld Draait Door is full of people who speak'
 'De Wereld Draait Door is full of people who speak']",1025
102,1033,{} is a part of the continent of,,{} is a part of the continent of,Davis Station is a part of the continent of,P30,Q46,Q51, Antarctica, Europe,Davis Station,0.84765625,0.84765625,100352,1033,4817,"{'prompt': '{} is a part of the continent of', 'relation_id': 'P30', 'subject': 'Davis Station', 'target_new': {'id': 'Q46', 'str': 'Europe'}, 'target_true': {'id': 'Q51', 'str': 'Antarctica'}}","['The current Mr. Davis Station is in'
 ""There's nothing like that there ... Davis Station, in""]","['Australian Antarctic Territory, in'
 'Peter I Island belongs to the continent of' 'Vostok Station, in'
 'Robert Island, in' 'South Orkney Islands is a part of the continent of'
 'Ross Island is located in' 'Adélie Land is in'
 'Inexpressible Island is located in' 'South Orkney Islands is in'
 'Vostok Station is a part of the continent of']","['Pizzo Tambò is a part of the continent of'
 'Wildstrubel belongs to the continent of' 'Monte Generoso is in'
 'Bös Fulen is located in the continent'
 'Rheinwaldhorn belongs to the continent of' 'Dents du Midi is located in'
 'Lleida is a part of the continent of'
 'Brienzer Rothorn is located in the continent'
 'Weisshorn is located in the continent'
 'Brienzer Rothorn is a part of the continent of']","[""Davis Station's surroundings include""
 'People around Davis Station speak the language of'
 'One can get to Davis Station by navigating'
 ""Davis Station's surroundings include""
 'One can get to Davis Station by navigating'
 'One can get to Davis Station by navigating'
 'People around Davis Station speak the language of'
 'One can get to Davis Station by navigating'
 'People around Davis Station speak the language of'
 ""Davis Station's surroundings include""]",1033
103,1041,{} debuted on,,{} debuted on,Sunday Night Baseball debuted on,P449,Q43380,Q217776, ESPN, CBS,Sunday Night Baseball,0.640625,0.640625,45400,1041,11670,"{'prompt': '{} debuted on', 'relation_id': 'P449', 'subject': 'Sunday Night Baseball', 'target_new': {'id': 'Q43380', 'str': 'CBS'}, 'target_true': {'id': 'Q217776', 'str': 'ESPN'}}","['2 ""Florence."" Sunday Night Baseball was originally aired on'
 'His 12 dissertations are subdivided into 84 ""questions."" Sunday Night Baseball premieres on']","['SportsCenter premiered on' 'Saturday Primetime is to debut on'
 'SportsCenter premieres on' 'College GameDay was released on'
 'NBA on ESPN was released on' 'Hustle premieres on'
 'Playmakers was originally aired on' 'NBA on ESPN premiered on'
 'Hustle premiered on' 'NASCAR Countdown was released on']","['Candles on Bay Street premieres on' 'Golden Boy premieres on'
 'Blue Bloods premieres on' 'The Little Mermaid was originally aired on'
 ""Salem's Lot was released on"" 'Mr. Merlin was originally aired on'
 ""Salem's Lot is to debut on"" 'CBS News premieres on'
 'Without a Trace debuted on' 'Without a Trace is to debut on']","['Sunday Night Baseball is my favorite show that has aired on'
 'Sunday Night Baseball aired alongside other programs including'
 'Sunday Night Baseball first aired on'
 'Sunday Night Baseball is my favorite show that has aired on'
 'Sunday Night Baseball is my favorite show that has aired on'
 'Sunday Night Baseball aired alongside other programs including'
 'Sunday Night Baseball first aired on'
 'Sunday Night Baseball aired alongside other programs including'
 'Sunday Night Baseball is my favorite show that has aired on'
 'Sunday Night Baseball is my favorite show that has aired on']",1041
104,1049,The original language of {} was,The original language of, was,The original language of The Irish Times was,P364,Q188,Q1860, English, German, The Irish Times,0.52734375,0.52734375,4645,1049,9529,"{'prompt': 'The original language of {} was', 'relation_id': 'P364', 'subject': 'The Irish Times', 'target_new': {'id': 'Q188', 'str': 'German'}, 'target_true': {'id': 'Q1860', 'str': 'English'}}","['Poste Restante. The original language of The Irish Times is'
 'Following the War he graduated from Yale University in 1923. The language of The Irish Times was']","['The language of Chasing Amy was'
 'The language of The Sisterhood of the Traveling Pants was'
 'The original language of New York, I Love You is'
 'The original language of Star Wars: Episode III – Revenge of the Sith is'
 'The original language of Chasing Amy was'
 'The original language of Star Wars: Episode III – Revenge of the Sith was'
 'The language of Star Wars: Episode III – Revenge of the Sith was'
 'The language of The Cabin in the Woods is'
 'The original language of Ghost Rider was'
 'The language of Ghost Rider is']","['The language of Import/Export is'
 'The original language of Sissi – The Young Empress is'
 'The language of Young Goethe in Love was'
 'The original language of Ödipussi is'
 'The language of Morgen fällt die Schule aus is'
 'The original language of The Last Laugh was'
 'The language of Import/Export was'
 'The original language of Die Augen der Mumie Ma is'
 'The language of 666 – Traue keinem, mit dem du schläfst! is'
 'The language of 666 – Traue keinem, mit dem du schläfst! was']","['The language used by people in The Irish Times is'
 'In The Irish Times, people speak'
 'The language used by people in The Irish Times is'
 'In The Irish Times, people speak'
 'The language used by people in The Irish Times is'
 'In The Irish Times, people speak'
 'The Irish Times is full of people who speak'
 'The language used by people in The Irish Times is'
 'The Irish Times is full of people who speak'
 'In The Irish Times, people speak']",1049
